optimizer_updates,r2_theta1,r2_theta2
5800,-0.7866410871515699,-0.669343200438598
5900,-0.7657701097634413,-0.6376896472605267
6000,-0.7593421738316188,-0.6162845685249396
6100,-0.7567883663413881,-0.6040143470783306
6200,-0.7799700918123473,-0.5906217916979295
6300,-0.8115550488116019,-0.5771837559238615
6400,-0.8438111333249905,-0.5722061446733544
6500,-0.8530124564380317,-0.5720620124548097
6600,-0.8597591106365767,-0.5714550324521981
6700,-0.8544750267530203,-0.5710453866671155
6800,-0.843036467799561,-0.5818377321258736
6900,-0.8271468224776664,-0.5874058911684332
7000,-0.809522949747997,-0.6002347535669033
7100,-0.8058009962959127,-0.6045627755333995
7200,-0.8014816188429881,-0.604688696602856
7300,-0.8042636637508733,-0.6085267060428567
7400,-0.8050807099456851,-0.6136596464490085
7500,-0.8086967360610722,-0.6086654185327676
7600,-0.8058694084306475,-0.5924541051022116
7700,-0.7857776554271263,-0.5840611807393266
7800,-0.7791680396914042,-0.5685288931622712
7900,-0.7689251801593189,-0.5338572220424356
8000,-0.7598386064147218,-0.5086459254212472
8100,-0.7371674711489506,-0.48902544051752406
8200,-0.718025843589059,-0.4760677392809971
8300,-0.6780353829358328,-0.45495282641869794
8400,-0.6442596039377466,-0.4386540796304592
8500,-0.6019637053599289,-0.4154887426423348
8600,-0.5759603398157338,-0.3979752558141305
8700,-0.5613460114966118,-0.3867524029388878
8800,-0.5579715569110635,-0.37395313039419276
8900,-0.5641283714926784,-0.3619202884303403
9000,-0.5767395272759435,-0.3544994783956137
9100,-0.5849177247157904,-0.3503587589733663
9200,-0.5912610308282675,-0.36146721224752776
9300,-0.59209610706129,-0.37265592454463303
9400,-0.5819390017498167,-0.3950356948410838
9500,-0.5838163732915505,-0.40009942936817167
9600,-0.5773013810352321,-0.40843844013310937
9700,-0.579863462196061,-0.39840540430450777
9800,-0.5800832713782405,-0.3764194987060445
9900,-0.5834928159196278,-0.35472826607675567
10000,-0.5783628935369569,-0.34449599394935104
10100,-0.571388244300604,-0.33704538459083566
10200,-0.5623209271275005,-0.3343380811223724
10300,-0.5246551283298682,-0.32773010182831186
10400,-0.5013556079322226,-0.31384902957568594
10500,-0.4877134080136285,-0.28205388046922764
10600,-0.48273106162356894,-0.2593502008432649
10700,-0.4730551942436607,-0.2362528205470411
10800,-0.47345378427813145,-0.22509589544082953
10900,-0.45421181624236007,-0.1986274798198162
11000,-0.42699320301044574,-0.17126825049866823
11100,-0.3855727399212927,-0.12842598301397534
11200,-0.36569876819726965,-0.11217342982528189
11300,-0.34682664160199117,-0.09987248663724735
11400,-0.33753694035334814,-0.09178821959099515
11500,-0.3298829507037575,-0.08445635125862427
11600,-0.32635183995998496,-0.09108471644754457
11700,-0.32071265684449135,-0.10850081973129844
11800,-0.32432228479413827,-0.11854998371624759
11900,-0.3362175706805659,-0.11544628653742373
12000,-0.34491364362355603,-0.10074535456159617
12100,-0.34785251618027013,-0.08580426692338694
12200,-0.35332978611924726,-0.0726359302838504
12300,-0.3648054100934288,-0.06193127268823129
12400,-0.36570485184106194,-0.055590771896937285
12500,-0.35884234802612536,-0.06012888560416507
12600,-0.35156303928997135,-0.07098039891930963
12700,-0.3509288686037402,-0.0727254570363145
12800,-0.35218835632999546,-0.06887599887323836
12900,-0.3578171748417196,-0.0661156550285682
13000,-0.36098321787949317,-0.059501722262579326
13100,-0.35857730797257203,-0.05576639627849311
13200,-0.3543555891797565,-0.049972051506133264
13300,-0.3408297687152071,-0.04658310364793539
13400,-0.329502295800455,-0.043683006019193504
13500,-0.3140649033150882,-0.02717654877537745
13600,-0.3113524965809955,-0.01576989438185361
13700,-0.3059847800931039,-0.0005042894701683398
13800,-0.301077646546724,0.0076914366897535835
13900,-0.29616915536974475,0.015925769492795228
14000,-0.2895058255227596,0.020878361634217968
14100,-0.2746429372819905,0.02686400298687286
14200,-0.27091895986943526,0.03103368668026718
14300,-0.26635646526247925,0.033294606053723586
14400,-0.2661662958001303,0.02766375550020239
14500,-0.27207423583782187,0.0232563181904637
14600,-0.28498938230946735,0.023296810784362743
14700,-0.30869995458805644,0.025285951127317796
14800,-0.332357769878459,0.026759277878511623
14900,-0.35064096068303496,0.026258139492246757
15000,-0.35257878555082933,0.0144088919194304
15100,-0.3549167816869301,0.0011705019530661165
15200,-0.3443554842925052,-0.029964966966490758
15300,-0.32853812470572263,-0.04721389984910984
15400,-0.31405553708511347,-0.05087182277435209
15500,-0.3036817203846054,-0.0508051631769153
15600,-0.28432842463916597,-0.030598973421640085
15700,-0.2730902367891541,-0.006082295509076241
15800,-0.2610882350848329,0.03177816470382111
15900,-0.24216721689912846,0.07148295110273417
16000,-0.22763741068788512,0.09251918379491297
16100,-0.2007693696779178,0.12027423205128274
16200,-0.1713306961573111,0.13037257208511444
16300,-0.14137607930539642,0.13581719157860683
16400,-0.11376221865229974,0.13817584500949365
16500,-0.0804925589702612,0.13935813485527804
16600,-0.05886671385190967,0.1420092057468334
16700,-0.0467394399071015,0.14966710708043218
16800,-0.04938202778459866,0.1557898895002826
16900,-0.048026874135916664,0.17365960982478268
17000,-0.04736922746787009,0.18632295734123616
17100,-0.03457250661508837,0.1987112161947553
17200,-0.031086548374219092,0.20306682616647942
17300,-0.006163309696408659,0.2156032420947791
17400,0.015981396822407623,0.22896924862119405
17500,0.03511834611309117,0.23222822450363823
17600,0.04769504387732049,0.23639357988583753
17700,0.05529738775176596,0.22933043489309968
17800,0.04911317871871845,0.21778553358190744
17900,0.030336012877471674,0.18875095019040622
18000,0.015667270531304456,0.16647066795234777
18100,-0.003510986659241766,0.15348092593432272
18200,-0.022657031255769677,0.15406983381669725
18300,-0.03480156557281466,0.15591252372215414
18400,-0.02758760223245793,0.16979171492924716
18500,-0.009844209564878525,0.18557992425666925
18600,0.015613371042633273,0.20859347643728088
18700,0.032701502954524675,0.2263734100740803
18800,0.046790130426513254,0.23751657404919135
18900,0.053563160272285026,0.2535544511784483
19000,0.05230479963488821,0.2626525675681476
19100,0.040243258826224815,0.28091741337305465
19200,0.023427159821331034,0.2926239904464102
19300,0.01546784298973014,0.30411459265438534
19400,0.013648113232151093,0.31114239603002825
19500,0.03168543563044601,0.31312201221329394
19600,0.04213267577891655,0.3192277503970432
19700,0.04597480907651552,0.3247160413384609
19800,0.04422099307326666,0.32656882541890586
