epoch,total,data,physics,initial,energy
100,0.03680878505110741,3.6808785807807e-05,0.18984080851078033,0.0,15.518442153930664
200,0.01754738762974739,1.754738696035929e-05,0.18614761531352997,0.0,15.157281875610352
300,0.009734008461236954,9.734008926898241e-06,0.18115028738975525,0.0,14.710484504699707
400,0.014766326174139977,1.4766325875825714e-05,0.17376716434955597,0.0,14.618633270263672
500,0.009220968000590801,9.220968422596343e-06,0.16718468070030212,0.0,14.492053031921387
600,0.028237927705049515,2.8237927836016752e-05,0.16514372825622559,0.0,14.120964050292969
700,0.006135866045951843,6.135865987744182e-06,0.16355088353157043,0.0,13.832509994506836
800,0.011915454640984535,1.1915454706468154e-05,0.16168679296970367,0.0,13.767498016357422
900,0.007983608171343803,7.983608156791888e-06,0.16091905534267426,0.0,13.69532299041748
1000,0.007834654301404953,7.834653843019623e-06,0.16032683849334717,0.0,13.63084602355957
1100,0.006171680986881256,6.1716809796052985e-06,0.16068127751350403,0.0,13.570832252502441
1200,0.007065099664032459,7.0650994530296884e-06,0.1607663631439209,0.0,13.504583358764648
1300,0.00689592445269227,6.895924343552906e-06,0.1575653851032257,0.0,13.506244659423828
1400,0.010287896730005741,1.0287896657246165e-05,0.16061896085739136,0.0,13.71573257446289
1500,0.008113829419016838,8.113829608191736e-06,0.15842604637145996,0.0,13.90768814086914
1600,0.008377370424568653,8.37737024994567e-06,0.15610165894031525,0.0,13.875741004943848
1700,0.006601875182241201,6.60187515677535e-06,0.15495805442333221,0.0,13.808111190795898
1800,0.005663502030074596,5.6635021792317275e-06,0.1529899686574936,0.0,13.903647422790527
1900,0.004213310778141022,4.213310603518039e-06,0.15241870284080505,0.0,14.042763710021973
2000,0.003848453052341938,3.848453161481302e-06,0.15263321995735168,0.0,14.141850471496582
2100,0.007026819046586752,6.250703336263541e-06,0.007761156652122736,0.0,16.262306213378906
2200,0.007012407295405865,4.749173967866227e-06,0.0056580835953354836,0.0,16.016029357910156
2300,0.007244035601615906,4.632135187421227e-06,0.002902111504226923,0.0,13.876531600952148
2400,0.006497988477349281,4.277944299246883e-06,0.0013875277945771813,0.0,11.673787117004395
2500,0.006202652584761381,5.131490979692899e-06,0.0004284647002350539,0.0,10.140380859375
2600,0.008437643758952618,7.165702299971599e-06,0.00035331706749275327,0.0,9.458465576171875
2700,0.004961218219250441,4.173113666183781e-06,0.00016083773516584188,0.0,9.17737102508545
2800,0.003692011348903179,2.810128080454888e-06,0.00013779425353277475,0.0,8.834178924560547
2900,0.004701611585915089,4.0742838791629765e-06,7.744788308627903e-05,0.0,8.613264083862305
3000,0.008285692892968655,7.162617748690536e-06,0.00011230757081648335,0.0,8.559365272521973
3100,0.00940073560923338,7.776527127134614e-06,0.00013423210475593805,0.0,8.463850975036621
3200,0.008367879316210747,6.584026323253056e-06,0.00012387867900542915,0.0,8.467506408691406
3300,0.006307264324277639,4.287076990294736e-06,0.00011953771172557026,0.0,8.465238571166992
3400,0.005627952050417662,4.676980552176246e-06,4.85189666505903e-05,0.0,8.526774406433105
3500,0.019510183483362198,1.7698130250209942e-06,0.0007884608930908144,0.0,8.528905868530273
3600,0.0057140858843922615,4.687664841185324e-06,4.009456461062655e-05,0.0,8.40561294555664
3700,0.00591563805937767,3.529318291839445e-06,8.257160516222939e-05,0.0,8.309551239013672
3800,0.005219317506998777,3.8953744478931185e-06,4.0862432797439396e-05,0.0,8.208062171936035
3900,0.016424303874373436,2.766870693449164e-06,0.00037832229281775653,0.0,8.088794708251953
4000,0.011095157824456692,1.6324596572303562e-06,0.0002365674590691924,0.0,7.97130012512207
4100,0.012172725051641464,3.8488606151076965e-06,0.0001887497492134571,0.0,7.858208656311035
4200,0.00788433663547039,2.818775556079345e-06,0.0001046603501890786,0.0,7.796743392944336
4300,0.006178758107125759,1.958424491022015e-06,7.977946370374411e-05,0.0,7.703630447387695
4400,0.006655740551650524,2.136027887900127e-06,7.846723747206852e-05,0.0,7.547752857208252
4500,0.027324128895998,6.356048743327847e-06,0.0003354892833158374,0.0,7.425966262817383
