# Time(s) Theta1(rad) Theta2(rad)
6.900000000000000577e-01 -8.658483824306882903e-01 3.068282769746450422e-01
7.000000000000000666e-01 -8.092058923801848103e-01 2.637949584169258510e-01
7.099999999999999645e-01 -7.498630481166902451e-01 2.162590139166892245e-01
7.199999999999999734e-01 -6.873719730328347044e-01 1.636703343525588439e-01
7.299999999999999822e-01 -6.212227364888972536e-01 1.054042291038940204e-01
7.399999999999999911e-01 -5.508843868939696797e-01 4.082157187940576443e-02
7.500000000000000000e-01 -4.759265277935024185e-01 -3.055727877099007408e-02
7.600000000000000089e-01 -3.962904684224013985e-01 -1.086682032051039387e-01
7.700000000000000178e-01 -3.127221186803783581e-01 -1.922926829033532181e-01
7.800000000000000266e-01 -2.270906255129750695e-01 -2.786106546905509629e-01
7.900000000000000355e-01 -1.420135840749650047e-01 -3.637328989388871059e-01
8.000000000000000444e-01 -5.979330155395298080e-02 -4.442062578790465510e-01
8.100000000000000533e-01 1.833619130113343584e-02 -5.180824890815174388e-01
8.200000000000000622e-01 9.213128072245679867e-02 -5.848156815932504804e-01
8.300000000000000711e-01 1.618996087762290814e-01 -6.446474977261945627e-01
8.399999999999999689e-01 2.281506963429254520e-01 -6.981157878341635037e-01
8.499999999999999778e-01 2.914171202816500106e-01 -7.458018145322041770e-01
8.599999999999999867e-01 3.521845693973262859e-01 -7.882304814822356231e-01
8.699999999999999956e-01 4.108729788366298763e-01 -8.258428194776463727e-01
8.800000000000000044e-01 4.678377415394077143e-01 -8.589973096058745039e-01
8.900000000000000133e-01 5.233772952949879986e-01 -8.879807867036118019e-01
9.000000000000000222e-01 5.777416645714670285e-01 -9.130212482384242323e-01
9.100000000000000311e-01 6.311400725044485904e-01 -9.342998452649778907e-01
9.200000000000000400e-01 6.837471491844753224e-01 -9.519613070213203132e-01
9.300000000000000488e-01 7.357077856782271441e-01 -9.661227785879507035e-01
9.400000000000000577e-01 7.871408476372796503e-01 -9.768812714315946444e-01
9.500000000000000666e-01 8.381419927536333248e-01 -9.843199571862907282e-01
9.599999999999999645e-01 8.887858190984148088e-01 -9.885134986146904001e-01
9.699999999999999734e-01 9.391275404436483232e-01 -9.895325592902584066e-01
9.799999999999999822e-01 9.892043529027233495e-01 -9.874475864716378837e-01
9.899999999999999911e-01 1.039036626416603548e+00 -9.823319244907696701e-01
1.000000000000000000e+00 1.088629026426340518e+00 -9.742642929007377939e-01
1.010000000000000009e+00 1.137971644457593801e+00 -9.633306531781405946e-01
1.020000000000000018e+00 1.187041189999545665e+00 -9.496254867654102538e-01
1.030000000000000027e+00 1.235802272388471401e+00 -9.332525153274520147e-01
1.040000000000000036e+00 1.284208779584876448e+00 -9.143249066086203136e-01
1.050000000000000044e+00 1.332205342400019532e+00 -8.929650234156212285e-01
1.060000000000000053e+00 1.379728859367787219e+00 -8.693037854813181475e-01
1.070000000000000062e+00 1.426710047095464784e+00 -8.434797241254733402e-01
1.080000000000000071e+00 1.473074979523762984e+00 -8.156378113655347040e-01
1.090000000000000080e+00 1.518746578015921722e+00 -7.859281450109822931e-01
1.100000000000000089e+00 1.563646020367959411e+00 -7.545045627944766409e-01
1.110000000000000098e+00 1.607694042930864375e+00 -7.215232486856657523e-01
1.120000000000000107e+00 1.650812118752366331e+00 -6.871413805282335918e-01
1.130000000000000115e+00 1.692923502835095517e+00 -6.515158542706330769e-01
1.140000000000000124e+00 1.733954141404816962e+00 -6.148021095017519588e-01
1.150000000000000133e+00 1.773833451047259757e+00 -5.771530641835015407e-01
1.159999999999999920e+00 1.812494974103224132e+00 -5.387181637485508601e-01
1.169999999999999929e+00 1.849876919798590036e+00 -4.996425411319481702e-01
1.179999999999999938e+00 1.885922601656445874e+00 -4.600662810527172963e-01
1.189999999999999947e+00 1.920580780120305420e+00 -4.201237822976174874e-01
1.199999999999999956e+00 1.953805919488650344e+00 -3.799432083843961583e-01
1.209999999999999964e+00 1.985558364785215968e+00 -3.396460219183141116e-01
1.219999999999999973e+00 2.015804443419590530e+00 -2.993465988637326047e-01
1.229999999999999982e+00 2.044516495964710856e+00 -2.591519187028771265e-01
1.239999999999999991e+00 2.071672838022335927e+00 -2.191613302510096728e-01
