optimizer_updates,r2_theta1,r2_theta2
1,0.03365920351489593,0.039317548521971
101,0.12475299010582697,0.12699086126512404
201,0.16016130416486352,0.160993039517779
301,0.1966202654258442,0.19735108332515994
401,0.22267029072175315,0.22361263568394352
501,0.2435908597877786,0.24474072591384954
601,0.26947731845634326,0.2709244634302055
701,0.28648328148565505,0.2880968132209475
801,0.3021145737936932,0.30373308040112534
901,0.3186882091161931,0.32023618376024454
1001,0.33983449619961126,0.3408767508772399
