optimizer_updates,r2_theta1,r2_theta2
100,-116.3011876913643,-60.77896284633285
200,-70.45423618823165,-55.32046709207958
300,-47.730096853313036,-31.46010872015858
400,-38.3355423822696,-13.60205548757784
500,-10.138366199483745,-1.480915134474154
600,-7.378411725081516,-0.6193456293928088
700,-7.037234391214467,-0.3274579731532745
800,-7.89717514172327,-0.11313432463613715
900,-5.3186666574705255,-0.09878805474648189
1000,-2.476409782547308,-0.19418365346696453
1100,-1.3540615480830032,-0.24726200857186398
1200,-0.697799573786464,-0.18014577637670715
1300,-0.3301361329525796,-0.04790336625938685
1400,-0.1368475473640265,0.015848902611529492
1500,0.016250358031131173,0.04196580511503223
1600,0.03960572809856211,-0.03725059820761145
1700,0.02573296055061791,-0.07978590037931088
1800,0.03791694811440971,-0.008422057908046288
1900,0.05170028430275353,0.032600597564277356
2000,0.05619324472922338,0.05290897701521269
2100,0.05883462035713993,0.06225464210797149
2200,0.06099313081945934,0.06625351166151228
2300,0.06281256687164694,0.0683695948098102
2400,0.06405475594580101,0.06968445126402434
2500,0.06559121958981684,0.07045452953414455
2600,0.06657525655294294,0.07150155272744407
2700,0.0682209993810543,0.0724133202459124
2800,0.0699817489842387,0.07325615699798571
2900,0.07162757257773888,0.07420931696380328
3000,0.07309610938089883,0.07526145021938502
3100,0.07456510258929316,0.07627407099811967
3200,0.07595381574250304,0.07720395359352983
3300,0.07715649481945008,0.07809568000917055
3400,0.0779674208002773,0.07898177419002927
3500,0.07895876542525815,0.07969055869447661
3600,0.08007499231503623,0.08045639876656863
3700,0.0809116075190327,0.08098601085883861
3800,0.08172716953576764,0.08150652937181846
3900,0.08238496654885386,0.08196183310428506
4000,0.08256212027773735,0.08222529043467974
4100,0.08315562260127363,0.08269359893556671
4200,0.08359372148039934,0.08298905079938812
4300,0.08397859153094911,0.08327048658547553
4400,0.08432474678075452,0.08354019395582246
4500,0.08464096489306017,0.08380046693609255
4600,0.08500714975504997,0.08426178998239242
4700,0.08480706306372798,0.08424964819844771
4800,0.0851884088171515,0.08459195520195895
4900,0.08448538474924461,0.08451013376496608
5000,0.08465745886218057,0.08441465112442281
5100,0.08482407333203834,0.08458417958513909
5200,0.08496887852798252,0.08475149524238779
5300,0.08513399149957668,0.08495733476250733
