# Time(s) Angle(rad) Angular Velocity(rad/s) Angular Acceleration(rad/s^2)
0.000000000000000000e+00 3.138451060936203518e+00 0.000000000000000000e+00 -3.141587485879489966e-02
1.000200040008001647e-02 3.138447918091705535e+00 -3.142215929065302949e-04 -3.144730314852649949e-02
2.000400080016003293e-02 3.138441629258623244e+00 -6.287575315795299307e-04 -3.151019116776467011e-02
3.000600120024005113e-02 3.138432188145638069e+00 -9.439224762461100732e-04 -3.160460182750918917e-02
4.000800160032006586e-02 3.138419585307906878e+00 -1.260031716369226524e-03 -3.173062957288851765e-02
5.001000200040008059e-02 3.138403808137612216e+00 -1.577401486052048196e-03 -3.188840047762874635e-02
6.001200240048010226e-02 3.138384840851351054e+00 -1.896349280387202903e-03 -3.207807237012719193e-02
7.001400280056011005e-02 3.138362664474345198e+00 -2.217194173067010398e-03 -3.229983499129915336e-02
8.001600320064013172e-02 3.138337256821458698e+00 -2.540257135572503069e-03 -3.255391018434383027e-02
9.001800360072015339e-02 3.138308592475006709e+00 -2.865861358260479372e-03 -3.284055211658439000e-02
1.000200040008001612e-01 3.138276642759326940e+00 -3.194332573669404762e-03 -3.316004753367012003e-02
1.100220044008801829e-01 3.138241375712093717e+00 -3.525999382367845866e-03 -3.351271604633983964e-02
1.200240048009602045e-01 3.138202756052344888e+00 -3.861193581671105123e-03 -3.389891045004317371e-02
1.300260052010402123e-01 3.138160745145187835e+00 -4.200250497554713566e-03 -3.431901707775626004e-02
1.400280056011202201e-01 3.138115300963150389e+00 -4.543509320096784411e-03 -3.477345618633270047e-02
1.500300060012002556e-01 3.138066378044138904e+00 -4.891313442784649655e-03 -3.526268237676596223e-02
1.600320064012802634e-01 3.138013927445959084e+00 -5.244010806024957186e-03 -3.578718504880600698e-02
1.700340068013602712e-01 3.137957896697357363e+00 -5.601954245200851945e-03 -3.634748889035026992e-02
1.800360072014403068e-01 3.137898229745530898e+00 -5.965501843624040207e-03 -3.694415440212700519e-02
1.900380076015203146e-01 3.137834866900054642e+00 -6.335017290734732374e-03 -3.757777845818413565e-02
2.000400080016003224e-01 3.137767744773169998e+00 -6.710870245907608368e-03 -3.824899490273644259e-02
2.100420084016803579e-01 3.137696796216376427e+00 -7.093436708227437472e-03 -3.895847518395512826e-02
2.200440088017603657e-01 3.137621950253257630e+00 -7.483099392603863483e-03 -3.970692902538076885e-02
2.300460092018403735e-01 3.137543132008482782e+00 -7.880248112601670463e-03 -4.049510513555198282e-02
2.400480096019204090e-01 3.137460262632903785e+00 -8.285280170368744188e-03 -4.132379195663699045e-02
2.500500100020003891e-01 3.137373259224681465e+00 -8.698600754051849515e-03 -4.219381845273504489e-02
2.600520104020804246e-01 3.137282034746355031e+00 -9.120623343097010449e-03 -4.310605493870103139e-02
2.700540108021604602e-01 3.137186497937774821e+00 -9.551770121839770269e-03 -4.406141395028811275e-02
2.800560112022404402e-01 3.137086553224814445e+00 -9.992472401798641740e-03 -4.506085115644310052e-02
2.900580116023204758e-01 3.136982100623763259e+00 -1.044317105309333291e-02 -4.610536631473958341e-02
3.000600120024005113e-01 3.136873035641312590e+00 -1.090431694541919502e-02 -4.719600427080899302e-02
3.100620124024804913e-01 3.136759249170028241e+00 -1.137637139901800237e-02 -4.833385600283800210e-02
3.200640128025605269e-01 3.136640627379208901e+00 -1.185980664609579890e-02 -4.952005971212877777e-02
3.300660132026405624e-01 3.136517051601021677e+00 -1.235510630314849874e-02 -5.075580196080267670e-02
3.400680136027205425e-01 3.136388398211797046e+00 -1.286276585466682686e-02 -5.204231885781534367e-02
3.500700140028005780e-01 3.136254538508369105e+00 -1.338329314870378810e-02 -5.338089729441560655e-02
3.600720144028806136e-01 3.136115338579335443e+00 -1.391720890479916477e-02 -5.477287623029450381e-02
3.700740148029605936e-01 3.135970659171106067e+00 -1.446504723476810250e-02 -5.621964803171869418e-02
3.800760152030406291e-01 3.135820355548613048e+00 -1.502735617687371225e-02 -5.772265986291962026e-02
3.900780156031206647e-01 3.135664277350534324e+00 -1.560469824391631788e-02 -5.928341513218980674e-02
4.000800160032006447e-01 3.135502268438894014e+00 -1.619765098578658871e-02 -6.090347499404846071e-02
4.100820164032806803e-01 3.135334166742884232e+00 -1.680680756704332549e-02 -6.258445990900940448e-02
4.200840168033607158e-01 3.135159804096753877e+00 -1.743277736009202911e-02 -6.432805126247882754e-02
4.300860172034406959e-01 3.134979006071603180e+00 -1.807618655455570794e-02 -6.613599304437492443e-02
4.400880176035207314e-01 3.134791591800914379e+00 -1.873767878344523644e-02 -6.801009359114389141e-02
4.500900180036007669e-01 3.134597373799646647e+00 -1.941791576675333877e-02 -6.995222739186689187e-02
4.600920184036807470e-01 3.134396157776710989e+00 -2.011757797311327853e-02 -7.196433696027426663e-02
4.700940188037607825e-01 3.134187742440642133e+00 -2.083736530018143532e-02 -7.404843477446779176e-02
4.800960192038408181e-01 3.133971919298269349e+00 -2.157799777442096292e-02 -7.620660528629928654e-02
4.900980196039207981e-01 3.133748472446189037e+00 -2.234021627098326662e-02 -7.844100700234231394e-02
5.001000200040007782e-01 3.133517178354826793e+00 -2.312478325440336935e-02 -8.075387463854083459e-02
5.101020204040808137e-01 3.133277805644876235e+00 -2.393248354084606677e-02 -8.314752135061945215e-02
5.201040208041608492e-01 3.133030114855891668e+00 -2.476412508266062629e-02 -8.562434104243787925e-02
5.301060212042408848e-01 3.132773858206801432e+00 -2.562053977602368054e-02 -8.818681075456924479e-02
5.401080216043209203e-01 3.132508779348104788e+00 -2.650258429247266331e-02 -9.083749313541757131e-02
5.501100220044009559e-01 3.132234613105504550e+00 -2.741114093515537725e-02 -9.357903899728971242e-02
5.601120224044808804e-01 3.131951085214720099e+00 -2.834711852064536464e-02 -9.641418995990697072e-02
5.701140228045609160e-01 3.131657912047214776e+00 -2.931145328719774595e-02 -9.934578118394148116e-02
5.801160232046409515e-01 3.131354800326567211e+00 -3.030510983034579234e-02 -1.023767441971986381e-01
5.901180236047209871e-01 3.131041446835201469e+00 -3.132908206676506685e-02 -1.055101098162060519e-01
6.001200240048010226e-01 3.130717538111182918e+00 -3.238439422735924639e-02 -1.087490111660397440e-01
6.101220244048810581e-01 3.130382750134782288e+00 -3.347210188055028263e-02 -1.120966868012530232e-01
6.201240248049609827e-01 3.130036748004488611e+00 -3.459329298678404802e-02 -1.155564839309802805e-01
6.301260252050410182e-01 3.129679185602155300e+00 -3.574908898529355339e-02 -1.191318617512398259e-01
6.401280256051210538e-01 3.129309705246942297e+00 -3.694064591419173038e-02 -1.228263948876606726e-01
6.501300260052010893e-01 3.128927937337710574e+00 -3.816915556499850259e-02 -1.266437769519093426e-01
6.601320264052811249e-01 3.128533499983512378e+00 -3.943584667273914574e-02 -1.305878242152063162e-01
6.701340268053610494e-01 3.128125998621812176e+00 -4.074198614278520814e-02 -1.346624794023877636e-01
6.801360272054410849e-01 3.127705025624056390e+00 -4.208888031564365917e-02 -1.388718156101189094e-01
6.901380276055211205e-01 3.127270159888199785e+00 -4.347787627093591123e-02 -1.432200403529442501e-01
7.001400280056011560e-01 3.126820966417787062e+00 -4.491036317184553955e-02 -1.477114997409318953e-01
7.101420284056811916e-01 3.126356995887167312e+00 -4.638777365135076519e-02 -1.523506827928508833e-01
7.201440288057612271e-01 3.125877784192412356e+00 -4.791158524159732507e-02 -1.571422258888590939e-01
7.301460292058411516e-01 3.125382851987493105e+00 -4.948332184780714071e-02 -1.620909173668174108e-01
7.401480296059211872e-01 3.124871704205255174e+00 -5.110455526815938648e-02 -1.672017022664397390e-01
7.501500300060012227e-01 3.124343829562715502e+00 -5.277690676112237883e-02 -1.724796872256472158e-01
7.601520304060812583e-01 3.123798700050195443e+00 -5.450204866175897833e-02 -1.779301455335148274e-01
7.701540308061612938e-01 3.123235770403780531e+00 -5.628170604857149484e-02 -1.835585223444072822e-01
7.801560312062413294e-01 3.122654477560586894e+00 -5.811765846249835471e-02 -1.893704400579531155e-01
7.901580316063212539e-01 3.122054240096296951e+00 -6.001174167972131435e-02 -1.953717038696233255e-01
8.001600320064012895e-01 3.121434457644406635e+00 -6.196584953998960504e-02 -2.015683074968264155e-01
8.101620324064813250e-01 3.120794510296614810e+00 -6.398193583221631342e-02 -2.079664390854799316e-01
8.201640328065613605e-01 3.120133757983760692e+00 -6.606201623915250454e-02 -2.145724873021942480e-01
8.301660332066413961e-01 3.119451539836701315e+00 -6.820817034299521409e-02 -2.213930476172623341e-01
8.401680336067214316e-01 3.118747173526501104e+00 -7.042254369383800505e-02 -2.284349287837611764e-01
8.501700340068013562e-01 3.118019954583283404e+00 -7.270734994292540887e-02 -2.357051595181951231e-01
8.601720344068813917e-01 3.117269155693078275e+00 -7.506487304272732586e-02 -2.432109953881607667e-01
