optimizer_updates,r2_theta1,r2_theta2
5801,0.6415766647537928,0.6461065677882701
5901,0.6511665930954439,0.6554798662197998
6001,0.6602625059240865,0.6643860282696651
6101,0.6650015458839089,0.6689997599078721
6201,0.6699157860095901,0.6738101186493761
6301,0.6755517226100387,0.679329513133127
6401,0.6818035808027816,0.6854573060591648
6501,0.6885498162151109,0.6920750979194882
6601,0.6956783463041473,0.6990727796818356
6701,0.7031251522090656,0.7063888666271985
6801,0.7107728066167802,0.7139074587024883
6901,0.7184966210591079,0.7215056094036347
7001,0.7262061005563847,0.7290928293655219
7101,0.7338016740047669,0.7365706400261247
7201,0.7412144227319059,0.7438705687979784
7301,0.7484347698978862,0.750983087369128
7401,0.75546631582481,0.7579116316002907
7501,0.7623891252767313,0.7647361808096389
7601,0.7668263997955468,0.7691136196043568
7701,0.7710822004687421,0.7733143630794052
7801,0.7758884011855652,0.7780624638902854
7901,0.7811406742514707,0.7832541549476668
8001,0.7866799996150056,0.7887321688993305
8101,0.7924326721982113,0.7944219328894424
8201,0.7982814186516785,0.8002067449960896
8301,0.8040647918471322,0.8059263704360806
8401,0.809760860842148,0.8115594483781111
8501,0.8154308695423543,0.8171673082027677
8601,0.8210411983782002,0.8227097505110292
8701,0.8259774571607851,0.8275842535092223
8801,0.8305122603240922,0.8320661832041883
8901,0.8347765293649299,0.836276820208343
9001,0.8385810557774567,0.8400275149155874
9101,0.8410015906543148,0.8424197352820625
9201,0.8437485460488892,0.8451325240668788
9301,0.846812506125884,0.8481585242925938
9401,0.8501305190947628,0.8514356951257275
9501,0.8536381979205279,0.8549002472733507
9601,0.8572884124672044,0.8585062025004013
9701,0.8610059510014901,0.8621789900558675
9801,0.8647249392035931,0.8658534511580857
9901,0.868407599781437,0.8694917511618221
10001,0.8720231397978228,0.8730635466365244
10101,0.8755593732636914,0.8765565603593254
10201,0.8790188198417108,0.8799735999190084
10301,0.8824016524574158,0.8833147433338266
10401,0.8857076221224549,0.8865801227934673
10501,0.888759749580283,0.88958987238435
10601,0.8905975741509924,0.8914119631454893
10701,0.8927284141084477,0.8935180817767914
10801,0.8950963265673912,0.8958599411826984
10901,0.8976510957405068,0.8983872478817595
11001,0.900339883691962,0.9010473244798419
11101,0.9031194529067976,0.9037972269585346
11201,0.905914212933252,0.906561108072628
11301,0.9086667802888367,0.9092831435464632
11401,0.911340701176585,0.9119263097903905
11501,0.913918925262863,0.914474800562214
11601,0.9164238489659958,0.9169507037053031
11701,0.9188852487388978,0.9193839877767138
11801,0.9213389286556622,0.921807507217614
11901,0.9236253796649943,0.92406707128739
12001,0.9245015013926983,0.9249258186298497
12101,0.9252655464060685,0.9256788494962406
12201,0.9261105258430282,0.9265168000841666
