epoch,total,data,physics,initial,energy
1000,9.06454849243164,0.0049188025295734406,0.0036800343077629805,0.0,0.46571117639541626
2000,4.490838050842285,0.0023450437001883984,0.0015068840002641082,0.0,0.6389104723930359
3000,2.900341749191284,0.0004034510930068791,0.0022656491491943598,0.0,0.23124146461486816
4000,4.280147075653076,0.00011329150584060699,0.003994316328316927,0.0,0.1725393533706665
5000,1.8698216676712036,3.8368802051991224e-05,0.0013314526295289397,0.0,0.5000002384185791
6000,8.259927749633789,0.00311759184114635,0.004387631081044674,0.0,0.7547051906585693
7000,1.669334888458252,4.949658614350483e-05,0.0005306332022882998,0.0,1.089205026626587
8000,2.1284890174865723,0.000473497377242893,0.0004014174628537148,0.0,1.253574252128601
9000,2.284670352935791,2.7113597752759233e-05,0.000875752535648644,0.0,1.38180410861969
10000,1.949281930923462,0.0001438963954569772,0.0002881085965782404,0.0,1.5172770023345947
11000,1.986594557762146,0.0002721102791838348,0.0002822248497977853,0.0,1.432259440422058
12000,2.0112597942352295,0.000419488875195384,0.00030862909625284374,0.0,1.283141851425171
13000,1.7838256359100342,0.00035576371010392904,0.00029185786843299866,0.0,1.1362040042877197
14000,1.451829195022583,0.00022507509856950492,0.0002931041526608169,0.0,0.933650016784668
15000,1.4298710823059082,5.488747319759568e-06,0.0006614798330701888,0.0,0.7629024982452393
16000,0.8530685901641846,4.2031126213259995e-05,0.00029877133783884346,0.0,0.5122660994529724
17000,0.5775219798088074,4.405069830681896e-06,0.0005191686796024442,0.0,0.05394823104143143
18000,0.3518911302089691,0.0001239945413544774,0.000211037477129139,0.0,0.01685912162065506
19000,0.13825544714927673,2.082845639961306e-06,0.0001344427582807839,0.0,0.001729846466332674
20000,0.18002553284168243,9.724474512040615e-05,8.164250903064385e-05,0.0,0.0011382915545254946
21000,0.13233669102191925,7.794747034495231e-07,0.00013105617836117744,0.0,0.0005010375753045082
22000,0.12067734450101852,6.308806769084185e-05,5.617547867586836e-05,0.0,0.0014137978432700038
23000,0.09876765310764313,1.4630207942900597e-06,9.69984321272932e-05,0.0,0.0003062006726395339
24000,0.10393968969583511,6.450693035731092e-05,3.8788952224422246e-05,0.0,0.0006438023410737514
25000,0.19149936735630035,1.6606227291049436e-06,0.00018950919911731035,0.0,0.0003295441856607795
26000,0.040525902062654495,4.3838295482601097e-07,3.9907823520479724e-05,0.0,0.00017969333566725254
27000,0.04864862933754921,2.4462389774271287e-05,2.3963839339558035e-05,0.0,0.00022240073303692043
28000,0.26402512192726135,2.7075777325080708e-05,0.0002328287373529747,0.0,0.00412061158567667
29000,0.024192480370402336,3.006703934715915e-07,2.376640804868657e-05,0.0,0.0001254024391528219
30000,0.027503861114382744,8.31416491564596e-06,1.905281715153251e-05,0.0,0.00013687943283002824
